t_rel_s,signal,threshold
110.52252006530762,48108.0,48078.0
111.53063988685608,26.0,48078.0
111.54013323783875,26.0,48078.0
111.54481434822083,26.0,48078.0
111.54948616027832,26.0,48078.0
111.57070422172546,48115.0,48078.0
112.58011722564697,21.0,48078.0
112.59017610549927,21.0,48078.0
112.59502077102661,21.0,48078.0
112.59973216056824,21.0,48078.0
112.62078309059143,48114.0,48078.0
113.63070607185364,34.0,48078.0
113.63978338241577,34.0,48078.0
113.64437770843506,34.0,48078.0
113.64897537231445,34.0,48078.0
113.6682460308075,48108.0,48078.0
114.67745685577393,26.0,48078.0
114.68574118614197,26.0,48078.0
114.69019651412964,26.0,48078.0
114.69477367401123,26.0,48078.0
114.71485233306885,48115.0,48078.0
114.738529920578,48115.0,48078.0
115.78237748146057,48108.0,48078.0
116.83090615272522,48115.0,48078.0
117.87644171714783,48108.0,48078.0
118.9257640838623,48115.0,48078.0
118.95232605934143,48115.0,48078.0
120.00390338897705,48115.0,48078.0
121.05431962013245,48108.0,48078.0
122.1038990020752,48108.0,48078.0
123.15269303321838,48108.0,48078.0
123.17760896682739,48115.0,48078.0
124.1858344078064,644.0,48078.0
124.19386601448059,644.0,48078.0
124.19819641113281,644.0,48078.0
124.20229482650757,644.0,48078.0
124.22212219238281,48114.0,48078.0
125.2309935092926,19.0,48078.0
125.23954701423645,19.0,48078.0
125.2434995174408,19.0,48078.0
125.24731230735779,19.0,48078.0
125.26746892929077,48115.0,48078.0
126.27663326263428,23.0,48078.0
126.28473591804504,23.0,48078.0
126.28890442848206,23.0,48078.0
126.29301643371582,23.0,48078.0
126.3131160736084,48115.0,48078.0
127.32230043411255,25.0,48078.0
127.33037948608398,25.0,48078.0
127.33461356163025,25.0,48078.0
127.33878970146179,25.0,48078.0
127.35839223861694,48107.0,48078.0
127.3822820186615,48107.0,48078.0
128.39006543159485,9.0,48078.0
128.39785504341125,9.0,48078.0
128.4021351337433,9.0,48078.0
128.4062991142273,9.0,48078.0
128.42615604400635,48108.0,48078.0
129.4350597858429,15.0,48078.0
129.44363594055176,15.0,48078.0
129.44836473464966,15.0,48078.0
129.45280814170837,15.0,48078.0
129.4735186100006,48115.0,48078.0
130.52063417434692,48108.0,48078.0
131.56743383407593,48115.0,48078.0
132.58780908584595,21.0,48078.0
132.59285187721252,21.0,48078.0
132.59754371643066,21.0,48078.0
132.60248351097107,21.0,48078.0
132.62789392471313,48115.0,48078.0
133.63860630989075,24.0,48078.0
133.6478989124298,24.0,48078.0
133.65272045135498,24.0,48078.0
133.65741324424744,24.0,48078.0
133.67946314811707,48108.0,48078.0
134.68833112716675,28.0,48078.0
134.69585824012756,28.0,48078.0
134.69961214065552,28.0,48078.0
134.7030713558197,28.0,48078.0
134.72073674201965,48115.0,48078.0
135.72919368743896,25.0,48078.0
135.73709416389465,25.0,48078.0
135.74080443382263,25.0,48078.0
135.74450969696045,25.0,48078.0
135.76401662826538,48108.0,48078.0
136.77350330352783,25.0,48078.0
136.78231978416443,25.0,48078.0
136.78642201423645,25.0,48078.0
136.79050469398499,25.0,48078.0
136.8096740245819,48114.0,48078.0
136.83294367790222,48114.0,48078.0
137.87529063224792,48104.0,48078.0
138.92070531845093,48114.0,48078.0
139.9664990901947,48115.0,48078.0
